order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
ORD-100000,17-08-2018,18-08-2018,Standard Class,CUST-1125,Cameron Jones,Corporate,Austin,TX,81482,East,PROD-14165,Technology,Machines,Machines Item 16,2272.26,2,0,105.83
ORD-100001,31-10-2020,10-11-2020,First Class,CUST-1101,Skyler Wilson,Consumer,San Jose,CA,46463,East,PROD-54597,Office Supplies,Labels,Labels Item 143,51.87,3,0,11.32
ORD-100002,21-11-2019,23-11-2019,First Class,CUST-1049,Parker Lopez,Corporate,San Francisco,CA,15695,South,PROD-59615,Technology,Phones,Phones Item 41,1737.81,9,0,371
ORD-100003,11-01-2020,21-01-2020,First Class,CUST-1035,Taylor Davis,Corporate,Los Angeles,CA,40512,East,PROD-69429,Furniture,Tables,Tables Item 326,8584.44,6,0,2586.16
ORD-100004,29-12-2019,02-01-2020,Standard Class,CUST-1359,Jordan Martin,Corporate,Dallas,TX,42087,West,PROD-45382,Furniture,Furnishings,Furnishings Item 474,811.26,9,0,89.48
ORD-100005,27-10-2019,28-10-2019,First Class,CUST-1016,Avery Gonzalez,Consumer,Houston,TX,84341,Central,PROD-61856,Office Supplies,Labels,Labels Item 453,159.76,8,0,18.69
ORD-100006,13-10-2018,17-10-2018,Standard Class,CUST-1275,Drew Jackson,Consumer,San Jose,CA,62350,Central,PROD-76784,Office Supplies,Binders,Binders Item 253,57.28,2,0.1,-7.65
ORD-100007,13-08-2018,16-08-2018,Standard Class,CUST-1405,Kendall Martin,Consumer,San Antonio,TX,88104,South,PROD-82512,Technology,Copiers,Copiers Item 441,799.07,1,0.1,234.96
ORD-100008,23-08-2018,01-09-2018,Standard Class,CUST-1393,Avery Brown,Consumer,Chicago,IL,69470,East,PROD-75612,Technology,Copiers,Copiers Item 391,5529.96,3,0,711.34
ORD-100009,06-08-2018,11-08-2018,Standard Class,CUST-1259,Reese Miller,Consumer,San Francisco,CA,31174,East,PROD-74042,Technology,Copiers,Copiers Item 10,1778.82,2,0.2,161.71
ORD-100010,22-09-2019,26-09-2019,First Class,CUST-1449,Finley Williams,Consumer,San Diego,CA,19071,West,PROD-82063,Office Supplies,Labels,Labels Item 85,233.45,5,0,24.39
ORD-100011,16-05-2020,20-05-2020,Standard Class,CUST-1386,Riley Martinez,Consumer,Austin,TX,95180,Central,PROD-25860,Furniture,Furnishings,Furnishings Item 127,4211.04,4,0,1060.03
ORD-100012,13-02-2018,23-02-2018,Standard Class,CUST-1301,Cameron Smith,Consumer,Austin,TX,17716,West,PROD-53309,Office Supplies,Paper,Paper Item 37,540.54,9,0,105.22
ORD-100013,21-09-2020,25-09-2020,Standard Class,CUST-1370,Finley Jackson,Consumer,San Francisco,CA,71993,South,PROD-22704,Office Supplies,Paper,Paper Item 338,130.97,7,0,15.47
ORD-100014,21-04-2020,29-04-2020,Standard Class,CUST-1027,Morgan Johnson,Consumer,Philadelphia,PA,24322,West,PROD-80292,Office Supplies,Binders,Binders Item 230,25.14,3,0,2.71
ORD-100015,25-07-2019,02-08-2019,First Class,CUST-1472,Jordan Anderson,Corporate,Columbus,OH,82132,East,PROD-11934,Office Supplies,Envelopes,Envelopes Item 497,18.51,2,0.2,5.44
ORD-100016,30-04-2019,03-05-2019,Second Class,CUST-1246,Riley Gonzalez,Home Office,Chicago,IL,59672,East,PROD-69638,Furniture,Tables,Tables Item 147,8720.77,7,0.1,500.69
ORD-100017,23-09-2020,26-09-2020,First Class,CUST-1111,Taylor Jackson,Corporate,New York,NY,51104,East,PROD-72493,Office Supplies,Envelopes,Envelopes Item 258,454.77,9,0,73.03
ORD-100018,06-11-2020,08-11-2020,Standard Class,CUST-1035,Reese Williams,Corporate,Houston,TX,62923,East,PROD-85880,Technology,Accessories,Accessories Item 305,122.48,1,0,18.67
ORD-100019,08-05-2020,18-05-2020,Standard Class,CUST-1161,Drew Miller,Corporate,Philadelphia,PA,41285,Central,PROD-98039,Furniture,Bookcases,Bookcases Item 331,6709.6,5,0,1521.21
ORD-100020,29-05-2018,30-05-2018,Second Class,CUST-1288,Morgan Williams,Consumer,Dallas,TX,44760,West,PROD-42018,Furniture,Chairs,Chairs Item 190,3289.2,5,0,1480.14
ORD-100021,12-09-2019,22-09-2019,Same Day,CUST-1413,Rowan Smith,Corporate,Dallas,TX,49240,East,PROD-25129,Office Supplies,Writing,Writing Item 456,36.22,2,0.1,11.71
ORD-100022,15-11-2018,20-11-2018,Second Class,CUST-1107,Avery Miller,Corporate,Columbus,OH,44600,South,PROD-22097,Furniture,Chairs,Chairs Item 325,12226.35,7,0.1,2521.52
ORD-100023,01-04-2018,02-04-2018,Second Class,CUST-1066,Drew Garcia,Corporate,Dallas,TX,66057,East,PROD-29536,Office Supplies,Paper,Paper Item 280,83.11,1,0.1,23.75
ORD-100024,31-10-2018,07-11-2018,First Class,CUST-1157,Parker Johnson,Home Office,Houston,TX,99399,West,PROD-56357,Technology,Phones,Phones Item 400,2042.71,9,0.2,120.34
ORD-100025,12-04-2020,22-04-2020,Standard Class,CUST-1473,Cameron Garcia,Home Office,San Francisco,CA,33206,South,PROD-53540,Office Supplies,Binders,Binders Item 401,180.12,7,0.1,-1.8
ORD-100026,24-05-2019,29-05-2019,First Class,CUST-1359,Morgan Gonzalez,Home Office,Columbus,OH,71694,West,PROD-55830,Office Supplies,Labels,Labels Item 157,332.88,4,0,6.12
ORD-100027,31-01-2019,07-02-2019,Second Class,CUST-1442,Jordan Rodriguez,Consumer,Dallas,TX,62386,Central,PROD-44237,Office Supplies,Paper,Paper Item 92,386.26,10,0.3,28.71
ORD-100028,28-06-2019,29-06-2019,First Class,CUST-1222,Parker Hernandez,Consumer,Dallas,TX,25157,South,PROD-43386,Technology,Accessories,Accessories Item 23,3079.65,7,0,769.47
ORD-100029,08-02-2019,14-02-2019,Second Class,CUST-1485,Avery Martin,Consumer,Columbus,OH,26334,Central,PROD-97410,Technology,Copiers,Copiers Item 210,13154.64,6,0,3769.2
ORD-100030,29-08-2019,07-09-2019,First Class,CUST-1215,Hayden Garcia,Corporate,Phoenix,AZ,63225,East,PROD-37549,Furniture,Tables,Tables Item 221,15539.8,10,0,2410.85
ORD-100031,22-10-2019,30-10-2019,Second Class,CUST-1345,Riley Taylor,Consumer,Fort Worth,TX,32241,East,PROD-22240,Furniture,Tables,Tables Item 420,993.38,4,0.1,104.49
ORD-100032,06-04-2019,10-04-2019,First Class,CUST-1023,Cameron Thomas,Corporate,San Francisco,CA,19545,South,PROD-60328,Furniture,Bookcases,Bookcases Item 254,12131.35,7,0,-11.87
ORD-100033,12-01-2018,14-01-2018,Standard Class,CUST-1112,Jamie Taylor,Consumer,Dallas,TX,42662,East,PROD-70901,Furniture,Bookcases,Bookcases Item 342,1095.82,9,0.3,341.85
ORD-100034,12-10-2019,20-10-2019,Standard Class,CUST-1368,Rowan Wilson,Corporate,Dallas,TX,68446,West,PROD-68991,Technology,Machines,Machines Item 133,3408.23,4,0.1,1095.97
ORD-100035,22-07-2019,31-07-2019,Second Class,CUST-1122,Drew Anderson,Consumer,Phoenix,AZ,40735,Central,PROD-80798,Furniture,Tables,Tables Item 42,3879.72,3,0,280.17
ORD-100036,24-02-2020,27-02-2020,Standard Class,CUST-1032,Kendall Wilson,Consumer,San Diego,CA,64496,East,PROD-61049,Office Supplies,Labels,Labels Item 464,711.6,10,0.2,39.47
ORD-100037,10-02-2018,20-02-2018,Second Class,CUST-1003,Parker Martinez,Corporate,Columbus,OH,64921,West,PROD-45774,Furniture,Bookcases,Bookcases Item 224,11526.64,8,0,1969.94
ORD-100038,20-11-2019,27-11-2019,Standard Class,CUST-1430,Reese Jones,Home Office,Dallas,TX,13534,South,PROD-21003,Technology,Phones,Phones Item 330,16009.98,7,0,5754.82
ORD-100039,03-08-2020,06-08-2020,First Class,CUST-1194,Avery Miller,Consumer,Philadelphia,PA,59692,Central,PROD-20735,Furniture,Tables,Tables Item 241,911.61,1,0.1,201.08
